9026,NN,FACupFinal,4854
8808,NN,CFCWembley,1662
9118,NN,FACup,1625
7994,NN,LFC,1492
7493,NN,lfc,1442
3163,NN,cfc,1297
6936,NN,SL,1213
8010,NN,facup,1100
7889,NN,goal,738
8021,NN,game,706
8284,NN,today,593
10320,NNS,fans,567
2283,NN,cup,564
8136,NN,time,552
2369,NN,team,542
8272,NN,chelsea,503
7734,NN,FAcup,494
7092,NN,line,420
8743,NN,half,417
7773,NN,YNWA,411
9442,NNS,mins,380
9246,NN,match,375
4051,NN,liverpool,340
8633,NN,season,318
10301,NNS,players,317
10654,NNS,Congratulations,312
8836,NN,kick,280
8772,NN,pitch,273
9199,NN,football,260
5173,NN,score,249
6699,NN,man,248
7657,NN,player,244
6359,NN,Man,240
8181,NN,FACUP,234
8294,NN,day,233
7291,NN,facupfinal,229
8496,NN,victory,224
5620,NN,way,213
8687,NN,trophy,211
10914,NNS,reds,203
8811,NN,ball,202
10866,NNS,blues,187
8616,NN,club,185
7131,NN,drogba,183
6186,NN,fan,170
10545,NNS,times,167
7497,NN,wembley,164
5419,NN,tunnel,162
8740,NN,job,158
10917,NNS,boys,157
8559,NN,banter,156
5769,NN,D,154
8859,NN,ynwa,153
10854,NNS,Reds,153
6249,NN,FACupfinal,149
10661,NNS,years,147
10693,NNS,minutes,146
10743,NNS,celebrations,142
7232,NN,air,141
10699,NNS,finals,140
8483,NN,KTBFFH,129
10280,NNS,Blues,124
8219,NN,home,122
10564,NNS,teams,121
10655,NNS,champions,121
8903,NN,night,120
6393,NN,c,118
10876,NNS,goals,118
5201,NN,pressure,116
6316,NN,anthem,115
8771,NN,gol,115
8307,NN,side,114
5134,NN,front,113
8528,NN,Half,113
8834,NN,shot,112
10727,NNS,Thanks,112
6366,NN,FA,109
7179,NN,shit,108
5577,NN,CFCWembl,107
4413,NN,u,106
7866,NN,el,103
8295,NN,:D,103
9227,NN,terry,103
10327,NNS,scores,103
3642,NN,luck,101
6948,NN,scoreboard,101
10778,NNS,winners,100
4144,NN,keeper,99
8140,NN,post,99
7618,NN,foot,97
7871,NN,hope,95
7978,NN,header,95
5382,NN,end,93
6779,NN,history,90
9228,NN,technology,90
10672,NNS,trophies,90
7514,NN,defence,87
8778,NN,league,87
9235,NN,room,87
8168,NN,world,85
4611,NN,something,83
5097,NN,hour,83
6323,NN,yang,83
4013,NN,winner,81
6788,NN,heart,81
6594,NN,hal,80
7387,NN,FAcupFinal,80
7775,NN,performance,79
5036,NN,un,75
7517,NN,FACUPFINAL,75
8933,NN,love,75
3520,NN,year,74
8321,NN,henderson,74
8783,NN,tonight,74
7745,NN,d,73
9932,NNS,records,73
4518,NN,flag,72
7467,NN,reaction,72
7783,NN,bit,71
9093,NN,FaCup,71
10460,NNS,lads,71
6044,NN,class,70
7088,NN,colour,70
7485,NN,singing,70
7854,NN,leg,70
8170,NN,min,70
7530,NN,con,69
8249,NN,Game,69
9017,NN,lol,69
9028,NN,manager,69
10836,NNS,guys,69
2785,NN,Ca,68
8891,NN,CHL,68
6566,NN,fuck,67
9221,NN,banner,67
7680,NN,strike,66
10020,NNS,problems,66
9071,NN,enrique,65
8985,NN,gerrard,64
10222,NNS,people,64
8186,NN,n,63
8227,NN,courtesy,63
8277,NN,minute,63
9089,NN,linesman,62
5575,NN,total,61
5936,NN,start,61
7696,NN,FAcupfinal,61
10863,NNS,men,61
5811,NN,que,60
8385,NN,carroll,60
1909,NN,chance,59
6992,NN,bench,59
7606,NN,view,59
6320,NN,nothing,58
6518,NN,agger,58
8853,NN,anyone,58
7826,NN,ke,57
9830,NNS,subs,57
10852,NNS,games,57
7821,NN,picture,56
8518,NN,decision,56
7498,NN,shirt,55
7540,NN,johnson,55
7851,NN,competition,55
10712,NNS,supporters,55
4364,NN,effort,54
6644,NN,skrtl,54
10918,NNS,Winners,54
5276,NN,result,53
8182,NN,haha,53
9090,NN,life,53
10908,NNS,Congrats,53
2614,NN,y,52
2976,NN,finish,52
7846,NN,Love,52
8683,NN,box,52
7004,NN,attack,51
7762,NN,fb,50
7561,NN,Goal,49
8789,NN,moment,49
9145,NN,coverage,49
7127,NN,stadium,48
8180,NN,face,48
8537,NN,chelseafc,48
8866,NN,cheliv,48
5317,NN,Y,47
5800,NN,plse,47
6717,NN,yg,47
7030,NN,thing,47
7218,NN,right,47
8317,NN,head,47
8566,NN,o,47
9154,NN,fa,47
10874,NNS,months,47
7093,NN,coach,46
6358,NN,GOAL,45
6619,NN,juara,45
7730,NN,commentary,45
8068,NN,sub,45
8336,NN,everyone,44
8522,NN,da,44
10800,NNS,los,44
7269,NN,Chelsea,43
8071,NN,legend,43
8194,NN,%,43
8953,NN,menang,43
4407,NN,girl,42
4978,NN,news,42
7074,NN,RECORD,42
10425,NNS,hours,42
10478,NNS,attributes,42
7638,NN,son,41
8493,NN,Today,41
6401,NN,buat,40
7094,NN,someone,40
7250,NN,t,40
7608,NN,para,40
7957,NN,itv,40
10855,NNS,Chels,40
4312,NN,interview,39
5095,NN,lot,39
10532,NNS,todays,38
5493,NN,defeat,37
7567,NN,need,37
2344,NN,comeback,36
6317,NN,CL,36
7153,NN,twitter,36
7427,NN,break,36
7430,NN,sun,36
8495,NN,kita,36
8640,NN,fibula,36
8947,NN,suarez,36
9970,NNS,medals,36
4929,NN,quality,35
7727,NN,hell,35
8254,NN,name,35
8542,NN,boy,35
8749,NN,Drogba,35
9160,NN,tim,35
9188,NN,iamchill,35
3243,NN,pub,34
3526,NN,anything,34
6130,NN,tweet,34
6227,NN,striker,34
7864,NN,scum,34
8271,NN,r,34
8574,NN,prediction,34
8863,NN,andy,34
4686,NN,RT,33
4875,NN,money,33
6377,NN,feeling,33
7466,NN,Direction,33
7578,NN,report,33
7868,NN,work,33
8267,NN,god,33
8357,NN,squad,33
8398,NN,Football,33
8446,NN,por,33
