DATE,today,put,ORGANIZATION,chelsea,1,"[ ""My team today will put Chelsea to the sword."" , ""Kenny is a winner n will be revived""]"
DURATION,"an hour",go,ORGANIZATION,lfc,1,"[ ""An hour to go LFC""]"
LOCATION,liverpool,go,DATE,now,1,"[ ""Liverpool really are going for this now!"" , ""5 minutes left to play!"" , ""FACupFinal""]"
MISC,"facup rise",lift,DATE,today,1,"[ ""FACup Rise and shine, today we lift the cup and watch King Kenny cry."" , ""To all the blue supporters clubs, sing loud and .""]"
MISC,"wtf facup",get,TIME,"last night",1,"[ ""ITV commentator ."" , ""Graham Norton got inside Drogba last night WTF FACup""]"
"MISC,MISC","fa cup",match,NUMBER,six,1,"[ ""Chelsea have won all six FA Cup matches we've played at the new Wembley."" , ""We're ahead 5 4 on FA Cup wins v Liverpool."" , "".""]"
NUMBER,i,hear,DATE,now,1,"[ ""Oh yes!"" , ""lfc I hear the fans now!""]"
NUMBER,i,support,DATE,today,1,"[ ""Today I will be supporting Liverpool!"" , ""Please be a good game!"" , ""It should be on the BBC as well!"" , ""Hate adverts!"" , ""FAcupfinal""]"
NUMBER,i,support,LOCATION,liverpool,1,"[ ""Today I will be supporting Liverpool!"" , ""Please be a good game!"" , ""It should be on the BBC as well!"" , ""Hate adverts!"" , ""FAcupfinal""]"
NUMBER,2,"be fucking",NUMBER,1,1,"[ ""2 fucking 1 to CFC!""]"
NUMBER,1,go,ORGANIZATION,cfc,1,"[ ""Blue is the colour 1 cup down, 1 to go CFC""]"
NUMBER,"2 1",mofo,ORGANIZATION,"cumon liverpool",1,"[ ""2 1 mofos Cumon Liverpool."" , ""FACupFinal""]"
NUMBER,"2 1",win,ORGANIZATION,lfc,1,"[ ""Hope it's a memorable FACupFinal 2 1 or penalties win to LFC thats my prediction 2!"" , ""Xx""]"
NUMBER,one,stop,PERSON,drogba,1,"[ ""One does not simply stop Drogba from scoring at Wembley."" , ""CFCWembley cfc KTBFFH chelseafc""]"
ORGANIZATION,liverpool,arrive,DATE,now,1,"[ ""Liverpool have now arrived at Wembley."" , ""lfc FACupFinal""]"
ORGANIZATION,liverpool,back,DATE,now,1,"[ ""Liverpool now back in it."" , ""Chelsea defend well though."" , ""cfc lfc FACupFinal""]"
ORGANIZATION,anfield,be,DATE,tuesday,1,"[ ""Tuesday, Anfield, I'm there."" , ""Are you?"" , ""excited CFC""]"
ORGANIZATION,liverpool,"be coming",DATE,now,1,"[ ""Drogba'd."" , ""Don't see Liverpool coming back now."" , ""FACup""]"
ORGANIZATION,liverpool,"be getting",DATE,now,1,"[ ""Liverpool getting back into this now."" , ""Come on!"" , ""FACupFinal""]"
ORGANIZATION,liverpool,"be playing",DATE,now,1,"[ ""liverpool now playing like liverpool!"" , ""FACup""]"
ORGANIZATION,liverpool,double,DATE,"this year",1,"[ ""come on boys, Liverpool double this year!"" , ""FACup""]"
ORGANIZATION,liverpool,get,DATE,now,1,"[ ""Do Liverpool get Europa league now?"" , ""FACupFinal""]"
ORGANIZATION,liverpool,have,DATE,today,1,"[ ""hoping Liverpool have a win today LFC YNWA""]"
ORGANIZATION,liverpool,improve,DATE,tonight,1,"[ ""Hopefully Liverpool can improve my mood tonight FACupFinal YNWA""]"
ORGANIZATION,liverpool,lose,DATE,today,1,"[ ""If Liverpool lose today, then you've got to wonder if Dalglish will walk away."" , ""His ship is sinking rapidly."" , ""lfc""]"
ORGANIZATION,cfc,make,DATE,today,1,"[ ""CFC made history today."" , ""Drogba with 4 goals in FA Cup finals, Cole with 7 FA Cup medals and Terry being captain for 4 FA .""]"
ORGANIZATION,liverpool,pass,DATE,"right now",1,"[ ""We will see, but right now Liverpool can't pass it!"" , ""FACupfinal""]"
ORGANIZATION,lfc,play,DATE,today,1,"[ ""That AFC result means CFC still have a sniff of top 4, they'd need a win at Anfield on Tuesday, might play on their minds today LFC""]"
ORGANIZATION,liverpool,score,DATE,now,1,"[ ""Edge of the seat time now that Liverpool have woken up and scored facup""]"
ORGANIZATION,lfc,start,DATE,today,1,"[ ""Carroll should have started today LFC""]"
ORGANIZATION,liverpool,take,DATE,today,1,"[ ""sod off chelsea."" , ""strange game."" , ""liverpool took so long to show up today."" , ""facup""]"
ORGANIZATION,liverpool,throw,DATE,now,1,"[ ""Liverpool should be throwing everything forward now, who cares if they end up losing 4 0 got to at least try and get forward FACupFinal""]"
ORGANIZATION,liverpool,walk,DATE,today,1,"[ ""Liverpool really walked off the field alone today!"" , ""My deepest sympathy, you just lost the F.A Cup!""]"
ORGANIZATION,liverpool,be,DURATION,day,1,"[ ""Not Liverpool's day, not Liverpool's season."" , ""We'll get better next time!"" , ""YNWA""]"
ORGANIZATION,chelsea,lose,DURATION,"mid week",1,"[ ""The panel saying Chelsea lost at home to Newcastle mid week, I think you'll find their clubs full name is 'Papiss Cisse' FACup NUFC CFC""]"
ORGANIZATION,cfc,be,LOCATION,wembley,1,"[ ""Wembley is Chelsea's second home stadium CFC""]"
ORGANIZATION,cfc,goin,NUMBER,2,1,"[ ""Yuh!"" , ""bt TB Josh has said CFC is goin 2 lift da cup Bayern!"" , ""cont""]"
ORGANIZATION,liverpool,like,NUMBER,2,1,"[ ""*Liverpool can like 2 win Chelsea on Wednesday night."" , ""I'll just be sipping my Maltina jejely."" , ""Winning CFC""]"
ORGANIZATION,"cfc lfc",pay,NUMBER,85m,1,"[ ""When I bought my car I got electric seat heaters included CFC LFC paid 85m to warm their subs bench""]"
ORGANIZATION,liverpool,spend,NUMBER,120m,1,"[ ""Liverpool spent 120m to beat."" , ""Cardiff City."" , ""FACup""]"
ORGANIZATION,liverpool,turn,NUMBER,30min,1,"[ ""well done Chelsea amazing Drogba was the difference Liverpool only turned up 30min to go."" , ""Carroll showed potential RDM V Good""]"
ORGANIZATION,chelsea,beat,ORGANIZATION,liverpool,1,"[ ""Celebrations galore as Chelsea beat Liverpool 2 1 at Wembley."" , ""FA Cup is going to Stamford Bridge."" , ""cfc lfc FACupFinal""]"
ORGANIZATION,liverpool,play,ORGANIZATION,lfc,1,"[ ""Since Andy has entered the game Liverpool are playing with 10 men LFC ;p""]"
ORGANIZATION,liverpool,win,ORGANIZATION,cfc,1,"[ ""Come on Chelsea, cant stand to see Liverpool win CFC""]"
ORGANIZATION,chelsea,"be menang",PERCENT,"57.8 %",1,"[ ""Hasil polling prediksi pembaca GOAL_ID: Chelsea menang 57.8%, Liverpool menang 37.7%."" , ""Preview FACup""]"
ORGANIZATION,liverpool,menang,PERCENT,"37.7 %",1,"[ ""Hasil polling prediksi pembaca GOAL_ID: Chelsea menang 57.8%, Liverpool menang 37.7%."" , ""Preview FACup""]"
ORGANIZATION,liverpool,beat,PERSON,chelsea,1,"[ ""Really want Liverpool to come back and beat Chelsea!"" , ""FACupFinal""]"
ORGANIZATION,"scummy liverpool",do,PERSON,chelsea,1,"[ ""Scummy Liverpool well done Chelsea!"" , ""FAcupFinal""]"
ORGANIZATION,lfc,start,PERSON,bellamy,1,"[ ""Henderson and Downing both starting for Liverpool today!"" , ""Kenny likes to do things the hard way."" , ""Please Bellamy is starting though LFC""]"
ORGANIZATION,chelsea,win,PERSON,torres,1,"[ ""Just done Chelsea to win 2 1 and Torres to score first."" , ""Come on lads!"" , ""CFCWembley FACupFinal""]"
"ORGANIZATION,PERSON",chelsea,be,DATE,now,1,"[ ""Liverpool rested players for weeks while Chelsea were busy beating Barcelona in champions league."" , ""And now, Chelsea are .""]"
PERSON,drogba,allow,DATE,now,1,"[ ""Is Drogba now allowed to go down even when not touched?"" , ""facupfinal""]"
PERSON,chelsea,"be playing",DATE,today,1,"[ ""Di Matteo has Chelsea playing for facup today and is still intro Caretaker Manager Would be classy to change that for afternoon""]"
PERSON,drogba,dive,DATE,today,1,"[ ""How many times will Drogba dive today?"" , ""cfc lfc""]"
PERSON,carroll,drop,DATE,today,1,"[ ""Carroll has been one of our best players in recent weeks, but gets dropped today."" , ""Big big mistake."" , ""LFC FAcup""]"
PERSON,cotto,knock,DATE,now,1,"[ ""My sports day has been good so far."" , ""chelsea are FACup champions."" , ""Now Cotto to knock Mayweather, and my day will be complete.""]"
PERSON,ramires,light,DATE,now,1,"[ ""Wonderful block from Ivanovic!"" , ""Ramires has lit up the game on fire now."" , ""CFC""]"
PERSON,"andy carroll",look,DATE,today,1,"[ ""I thought Andy Carroll looked like a 35m player today."" , ""Bodes well for the future."" , ""I'm trying to think positive here!"" , ""LFC""]"
PERSON,chelsea,makin,DATE,now,1,"[ ""Chelsea now makin the history that liverpool talked abt FACupFinal""]"
PERSON,carroll,miss,DATE,"two months ago",1,"[ ""Two months ago Carroll would have missed that."" , ""Why the hell he didn't start I will never know."" , ""Poor tactics from Kenny."" , ""LFC""]"
PERSON,"andy carroll",save,DATE,day,1,"[ ""It's a sad state of affairs if you need Andy Carroll to save the day, liverpool are absolute mince,look clueless."" , ""facupfinal""]"
PERSON,chelsea,screw,DATE,now,1,"[ ""Chelsea are screwed now Carroll is on cfc lmfao!""]"
